task,arm,boundary,transaction_group,normal_demonstrations,positive_support_separated,normal_terminal_score_floor,normal_preterminal_score_ceiling,local_score_threshold,maximum_preterminal_ready_run,confirmation_cycles,confirmation_seconds,minimum_terminal_hold_ready_run,status
bimanual_handover_item,left,left:0->1,,5,1,0.9999999999999999,0.3995803433208577,0.6997901716604288,0,2,0.1,41,calibrated
bimanual_handover_item,left,left:1->2,,5,0,0.009977255719028227,0.029759221422647586,0.007981804575222582,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:2->3,,5,0,0.0014876012443074504,0.07140199285537356,0.0011900809954459605,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:3->4,,5,1,0.33854902840739265,4.4935303420606887e-10,0.16927451442837285,0,2,0.1,41,calibrated
bimanual_handover_item,left,left:4->5,,5,0,0.05136768435382164,0.13074178409235296,0.041094147483057314,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:5->6,,5,1,0.7601169334180029,0.15751175873423806,0.4588143460761205,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:0->1,,5,0,0.0034339156431799386,0.24759354001271236,0.002747132514543951,1,2,0.1,41,calibrated
bimanual_handover_item,right,right:1->2,,5,1,0.49512698699817126,0.1513790868165027,0.323253036907337,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:2->3,,5,1,0.9980028985425583,0.15435684882942327,0.5761798736859908,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:3->4,,5,1,0.9984811862740035,0.15478779784931665,0.5766344920616601,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:4->5,,5,1,0.9978333957261268,0.15488286672120777,0.5763581312236673,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:5->6,,5,1,0.29490304952327406,0.044735274436424534,0.1698191619798493,0,2,0.1,41,calibrated
bimanual_lift_tray,left,left:0->1,,5,0,0.24256820972241755,0.2575436468106911,0.19405456777793406,1,2,0.1,41,calibrated
bimanual_lift_tray,left,left:1->2,joint:left-k1-to-2:right-k1-to-2:item-tray,5,0,0.0019978162020341706,0.021745781739860196,0.0015982529616273364,1,2,0.1,41,calibrated
bimanual_lift_tray,right,right:0->1,,5,0,0.014250553700467556,0.11611851806340052,0.011400442960374046,1,2,0.1,41,calibrated
bimanual_lift_tray,right,right:1->2,joint:left-k1-to-2:right-k1-to-2:item-tray,5,0,0.0014653059498082835,0.002020308105917412,0.0011722447598466268,1,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,left,left:0->1,,5,1,0.822486123823723,8.341600605746505e-05,0.4112847699148902,0,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,left,left:1->2,,5,1,0.4228006176698545,2.9364895269729314e-06,0.21140177707969074,0,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,right,right:0->1,,5,1,0.991113718092635,1.868028770968872e-55,0.4955568590463175,0,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,right,right:1->2,,5,1,0.9101571735561531,2.180525982285469e-25,0.45507858677807655,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:0->1,,5,1,0.9920076542291627,0.00018597153895764422,0.49609681288406016,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:1->2,,5,1,0.9943429218759435,1.2127329057217777e-132,0.49717146093797177,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:2->3,,5,1,0.9972149207423593,0.15442889948352675,0.575821910112943,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:3->4,,5,1,0.49988393755453453,0.014503408935247363,0.25719367324489095,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:0->1,,5,1,0.0146045221311307,1.863503386945155e-19,0.00730226106556535,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:1->2,,5,1,0.0013254524842053771,8.028898479692986e-13,0.0006627262425041335,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:2->3,,5,1,0.028206143213930234,2.8032285946589457e-09,0.014103073008579414,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:3->4,,5,1,0.6173714108413022,0.15924701110531295,0.38830921097330756,0,2,0.1,41,calibrated
