trial_id,task,arm,demonstration,scenario,magnitude,skill_index,anchor_local_index,ticks,baseline_mae,proposed_mae,mae_improvement,baseline_exact_rate,proposed_exact_rate,baseline_final_error,proposed_final_error,proposed_no_plausible_cycles,proposed_wins
progress:stack_wine:d0:normal:m0,stack_wine,single,0,normal,0,0,30,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:stack_wine:d0:stutter:m3,stack_wine,single,0,stutter,3,0,30,30,2.1,0.1,2.0,0.26666666666666666,0.9,3.0,0.0,0,1
progress:stack_wine:d0:stutter:m6,stack_wine,single,0,stutter,6,0,30,33,4.090909090909091,0.18181818181818182,3.909090909090909,0.24242424242424243,0.8181818181818182,6.0,0.0,0,1
progress:stack_wine:d0:skip:m2,stack_wine,single,0,skip,2,0,30,25,1.36,0.04,1.32,0.32,0.96,2.0,0.0,0,1
progress:stack_wine:d0:skip:m4,stack_wine,single,0,skip,4,0,30,23,2.608695652173913,0.13043478260869565,2.4782608695652173,0.34782608695652173,0.9565217391304348,4.0,0.0,0,1
progress:stack_wine:d1:normal:m0,stack_wine,single,1,normal,0,0,30,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:stack_wine:d1:stutter:m3,stack_wine,single,1,stutter,3,0,30,30,2.1,0.1,2.0,0.26666666666666666,0.9,3.0,0.0,0,1
progress:stack_wine:d1:stutter:m6,stack_wine,single,1,stutter,6,0,30,33,4.090909090909091,0.18181818181818182,3.909090909090909,0.24242424242424243,0.8181818181818182,6.0,0.0,0,1
progress:stack_wine:d1:skip:m2,stack_wine,single,1,skip,2,0,30,25,1.36,0.08,1.28,0.32,0.96,2.0,0.0,0,1
progress:stack_wine:d1:skip:m4,stack_wine,single,1,skip,4,0,30,23,2.608695652173913,0.13043478260869565,2.4782608695652173,0.34782608695652173,0.9565217391304348,4.0,0.0,0,1
progress:stack_wine:d2:normal:m0,stack_wine,single,2,normal,0,0,30,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:stack_wine:d2:stutter:m3,stack_wine,single,2,stutter,3,0,30,30,2.1,0.1,2.0,0.26666666666666666,0.9,3.0,0.0,0,1
progress:stack_wine:d2:stutter:m6,stack_wine,single,2,stutter,6,0,30,33,4.090909090909091,0.18181818181818182,3.909090909090909,0.24242424242424243,0.8181818181818182,6.0,0.0,0,1
progress:stack_wine:d2:skip:m2,stack_wine,single,2,skip,2,0,30,25,1.36,0.08,1.28,0.32,0.96,2.0,0.0,0,1
progress:stack_wine:d2:skip:m4,stack_wine,single,2,skip,4,0,30,23,2.608695652173913,0.13043478260869565,2.4782608695652173,0.34782608695652173,0.9565217391304348,4.0,0.0,0,1
progress:stack_wine:d3:normal:m0,stack_wine,single,3,normal,0,0,30,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:stack_wine:d3:stutter:m3,stack_wine,single,3,stutter,3,0,30,30,2.1,0.1,2.0,0.26666666666666666,0.9,3.0,0.0,0,1
progress:stack_wine:d3:stutter:m6,stack_wine,single,3,stutter,6,0,30,33,4.090909090909091,0.18181818181818182,3.909090909090909,0.24242424242424243,0.8181818181818182,6.0,0.0,0,1
progress:stack_wine:d3:skip:m2,stack_wine,single,3,skip,2,0,30,25,1.36,0.04,1.32,0.32,0.96,2.0,0.0,0,1
progress:stack_wine:d3:skip:m4,stack_wine,single,3,skip,4,0,30,23,2.608695652173913,0.17391304347826086,2.4347826086956523,0.34782608695652173,0.9565217391304348,4.0,0.0,1,1
progress:stack_wine:d4:normal:m0,stack_wine,single,4,normal,0,0,30,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:stack_wine:d4:stutter:m3,stack_wine,single,4,stutter,3,0,30,30,2.1,0.1,2.0,0.26666666666666666,0.9,3.0,0.0,0,1
progress:stack_wine:d4:stutter:m6,stack_wine,single,4,stutter,6,0,30,33,4.090909090909091,0.18181818181818182,3.909090909090909,0.24242424242424243,0.8181818181818182,6.0,0.0,0,1
progress:stack_wine:d4:skip:m2,stack_wine,single,4,skip,2,0,30,25,1.36,0.08,1.28,0.32,0.96,2.0,0.0,0,1
progress:stack_wine:d4:skip:m4,stack_wine,single,4,skip,4,0,30,23,2.608695652173913,0.13043478260869565,2.4782608695652173,0.34782608695652173,0.9565217391304348,4.0,0.0,0,1
progress:place_cups:d0:normal:m0,place_cups,single,0,normal,0,3,29,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:place_cups:d0:stutter:m3,place_cups,single,0,stutter,3,3,29,30,2.1,0.1,2.0,0.26666666666666666,0.9,3.0,0.0,0,1
progress:place_cups:d0:stutter:m6,place_cups,single,0,stutter,6,3,29,33,4.090909090909091,0.18181818181818182,3.909090909090909,0.24242424242424243,0.8181818181818182,6.0,0.0,0,1
progress:place_cups:d0:skip:m2,place_cups,single,0,skip,2,3,29,25,1.36,0.08,1.28,0.32,0.96,2.0,0.0,0,1
progress:place_cups:d0:skip:m4,place_cups,single,0,skip,4,3,29,23,2.608695652173913,0.17391304347826086,2.4347826086956523,0.34782608695652173,0.9565217391304348,4.0,0.0,0,1
