trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:stack_wine:d0:break_link_control:wine_bottle,stack_wine,single,0,break_link_control,break_link,0,wine_bottle,linked,3,25,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:stack_wine:d0:break_link_perturbed:wine_bottle,stack_wine,single,0,break_link_perturbed,break_link,1,wine_bottle,linked,3,25,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:stack_wine:d0:false_coupling_control:wine_bottle,stack_wine,single,0,false_coupling_control,false_coupling,0,wine_bottle,external,0,41,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172166358,external,0
relation:stack_wine:d0:false_coupling_perturbed:wine_bottle,stack_wine,single,0,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,41,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d1:break_link_control:wine_bottle,stack_wine,single,1,break_link_control,break_link,0,wine_bottle,linked,3,24,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:stack_wine:d1:break_link_perturbed:wine_bottle,stack_wine,single,1,break_link_perturbed,break_link,1,wine_bottle,linked,3,24,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:stack_wine:d1:false_coupling_control:wine_bottle,stack_wine,single,1,false_coupling_control,false_coupling,0,wine_bottle,external,0,49,12,0,0,,0.0,0.0,0.0,1.0,0.999995617275305,external,0
relation:stack_wine:d1:false_coupling_perturbed:wine_bottle,stack_wine,single,1,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,49,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d2:break_link_control:wine_bottle,stack_wine,single,2,break_link_control,break_link,0,wine_bottle,linked,3,24,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:stack_wine:d2:break_link_perturbed:wine_bottle,stack_wine,single,2,break_link_perturbed,break_link,1,wine_bottle,linked,3,24,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:stack_wine:d2:false_coupling_control:wine_bottle,stack_wine,single,2,false_coupling_control,false_coupling,0,wine_bottle,external,0,45,12,0,0,,0.0,0.0,0.0,1.0,0.9999956170530772,external,0
relation:stack_wine:d2:false_coupling_perturbed:wine_bottle,stack_wine,single,2,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,45,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d3:break_link_control:wine_bottle,stack_wine,single,3,break_link_control,break_link,0,wine_bottle,linked,3,24,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:stack_wine:d3:break_link_perturbed:wine_bottle,stack_wine,single,3,break_link_perturbed,break_link,1,wine_bottle,linked,3,24,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:stack_wine:d3:false_coupling_control:wine_bottle,stack_wine,single,3,false_coupling_control,false_coupling,0,wine_bottle,external,0,52,12,0,0,,0.0,0.0,0.0,1.0,0.9999956171474161,external,0
relation:stack_wine:d3:false_coupling_perturbed:wine_bottle,stack_wine,single,3,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,52,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d4:break_link_control:wine_bottle,stack_wine,single,4,break_link_control,break_link,0,wine_bottle,linked,3,24,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:stack_wine:d4:break_link_perturbed:wine_bottle,stack_wine,single,4,break_link_perturbed,break_link,1,wine_bottle,linked,3,24,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:stack_wine:d4:false_coupling_control:wine_bottle,stack_wine,single,4,false_coupling_control,false_coupling,0,wine_bottle,external,0,57,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172685943,external,0
relation:stack_wine:d4:false_coupling_perturbed:wine_bottle,stack_wine,single,4,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,57,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d0:break_link_control:mug0,place_cups,single,0,break_link_control,break_link,0,mug0,linked,3,53,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:place_cups:d0:break_link_perturbed:mug0,place_cups,single,0,break_link_perturbed,break_link,1,mug0,linked,3,53,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:place_cups:d0:false_coupling_control:mug0,place_cups,single,0,false_coupling_control,false_coupling,0,mug0,external,0,43,12,0,0,,0.0,0.0,0.0,1.0,0.999995617226285,external,0
relation:place_cups:d0:false_coupling_perturbed:mug0,place_cups,single,0,false_coupling_perturbed,false_coupling,1,mug0,external,0,43,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d1:break_link_control:mug0,place_cups,single,1,break_link_control,break_link,0,mug0,linked,3,51,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:place_cups:d1:break_link_perturbed:mug0,place_cups,single,1,break_link_perturbed,break_link,1,mug0,linked,3,51,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:place_cups:d1:false_coupling_control:mug0,place_cups,single,1,false_coupling_control,false_coupling,0,mug0,external,0,32,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172375283,external,0
relation:place_cups:d1:false_coupling_perturbed:mug0,place_cups,single,1,false_coupling_perturbed,false_coupling,1,mug0,external,0,32,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d2:break_link_control:mug0,place_cups,single,2,break_link_control,break_link,0,mug0,linked,4,9,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:place_cups:d2:break_link_perturbed:mug0,place_cups,single,2,break_link_perturbed,break_link,1,mug0,linked,4,9,12,0,1,1,0.9166666666666666,0.08333333333333333,1.0,0.0,0.0,external,0
relation:place_cups:d2:false_coupling_control:mug0,place_cups,single,2,false_coupling_control,false_coupling,0,mug0,external,0,40,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172263418,external,0
relation:place_cups:d2:false_coupling_perturbed:mug0,place_cups,single,2,false_coupling_perturbed,false_coupling,1,mug0,external,0,40,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d3:break_link_control:mug0,place_cups,single,3,break_link_control,break_link,0,mug0,linked,3,53,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
