demonstration,hold_cycle,tick,transaction_group,controlled_progress_delay,shared_pre_action_snapshot,held_transaction_group,committed_arms,partial_commit,atomic_invariant,left_progress_state,left_local_score,left_local_streak,left_local_done,left_permitted,left_execution_decision,left_reference_before,left_reference_after,right_progress_state,right_local_score,right_local_streak,right_local_done,right_permitted,right_execution_decision,right_reference_before,right_reference_after
0,1,82,joint:left-k1-to-2:right-k1-to-2:item-tray,1,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.4690646851988833,1,0,0,hold,k1:t17,k1:t17,k1:t0,0.0,0,0,0,hold,k1:t17,k1:t17
0,2,83,joint:left-k1-to-2:right-k1-to-2:item-tray,1,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.4690646851988832,2,1,1,hold,k1:t17,k1:t17,k1:t0,0.0,0,0,0,hold,k1:t17,k1:t17
0,3,84,joint:left-k1-to-2:right-k1-to-2:item-tray,0,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.4690646851988832,3,1,1,hold,k1:t17,k1:t17,k1:t17,0.7602549142030119,1,0,0,hold,k1:t17,k1:t17
0,4,85,joint:left-k1-to-2:right-k1-to-2:item-tray,0,1,,left|right,0,1,k1:t17,0.4690646851988833,4,1,1,hold,k1:t17,k2:t0,k1:t17,0.7602549142030118,2,1,1,hold,k1:t17,k2:t0
1,1,83,joint:left-k1-to-2:right-k1-to-2:item-tray,1,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.5653740885918666,1,0,0,hold,k1:t17,k1:t17,k1:t0,0.0,0,0,0,hold,k1:t17,k1:t17
1,2,84,joint:left-k1-to-2:right-k1-to-2:item-tray,1,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.5653740885918664,2,1,1,hold,k1:t17,k1:t17,k1:t0,0.0,0,0,0,hold,k1:t17,k1:t17
1,3,85,joint:left-k1-to-2:right-k1-to-2:item-tray,0,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.5653740885918666,3,1,1,hold,k1:t17,k1:t17,k1:t17,0.0014653059498082838,1,0,0,hold,k1:t17,k1:t17
1,4,86,joint:left-k1-to-2:right-k1-to-2:item-tray,0,1,,left|right,0,1,k1:t17,0.5653740885918666,4,1,1,hold,k1:t17,k2:t0,k1:t17,0.0014653059498082838,2,1,1,hold,k1:t17,k2:t0
2,1,80,joint:left-k1-to-2:right-k1-to-2:item-tray,1,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.6451798716669322,1,0,0,hold,k1:t17,k1:t17,k1:t0,0.0,0,0,0,hold,k1:t17,k1:t17
2,2,81,joint:left-k1-to-2:right-k1-to-2:item-tray,1,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.6451798716669322,2,1,1,hold,k1:t17,k1:t17,k1:t0,0.0,0,0,0,hold,k1:t17,k1:t17
2,3,82,joint:left-k1-to-2:right-k1-to-2:item-tray,0,1,joint:left-k1-to-2:right-k1-to-2:item-tray,,0,1,k1:t17,0.6451798716669322,3,1,1,hold,k1:t17,k1:t17,k1:t17,0.6170497426602565,1,0,0,hold,k1:t17,k1:t17
