trial_id,task,arm,event,demonstration,goal,terminated,cycles,structured_failure,failure_reason
bounded:stack_wine:single:wine_bottle:k2:m0:link:0:d0,stack_wine,single,single:wine_bottle:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:stack_wine:single:wine_bottle:k2:m0:link:0:d1,stack_wine,single,single:wine_bottle:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:stack_wine:single:wine_bottle:k2:m0:link:0:d2,stack_wine,single,single:wine_bottle:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:stack_wine:single:wine_bottle:k2:m0:link:0:d3,stack_wine,single,single:wine_bottle:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:stack_wine:single:wine_bottle:k2:m0:link:0:d4,stack_wine,single,single:wine_bottle:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:place_cups:single:mug0:k2:m0:link:0:d0,place_cups,single,single:mug0:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:place_cups:single:mug0:k2:m0:link:0:d1,place_cups,single,single:mug0:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:place_cups:single:mug0:k2:m0:link:0:d2,place_cups,single,single:mug0:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:place_cups:single:mug0:k2:m0:link:0:d3,place_cups,single,single:mug0:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:place_cups:single:mug0:k2:m0:link:0:d4,place_cups,single,single:mug0:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:place_cups:single:mug0:k4:m0:unlink:0:d0,place_cups,single,single:mug0:k4:m0:unlink:0,0,unlink,1,3,1,unlink_detachment_timeout
bounded:place_cups:single:mug0:k4:m0:unlink:0:d1,place_cups,single,single:mug0:k4:m0:unlink:0,1,unlink,1,3,1,unlink_detachment_timeout
bounded:place_cups:single:mug0:k4:m0:unlink:0:d2,place_cups,single,single:mug0:k4:m0:unlink:0,2,unlink,1,3,1,unlink_detachment_timeout
bounded:place_cups:single:mug0:k4:m0:unlink:0:d3,place_cups,single,single:mug0:k4:m0:unlink:0,3,unlink,1,3,1,unlink_detachment_timeout
bounded:place_cups:single:mug0:k4:m0:unlink:0:d4,place_cups,single,single:mug0:k4:m0:unlink:0,4,unlink,1,3,1,unlink_detachment_timeout
bounded:open_microwave:single:microwave_door:k2:m0:link:0:d0,open_microwave,single,single:microwave_door:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:open_microwave:single:microwave_door:k2:m0:link:0:d1,open_microwave,single,single:microwave_door:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:open_microwave:single:microwave_door:k2:m0:link:0:d2,open_microwave,single,single:microwave_door:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:open_microwave:single:microwave_door:k2:m0:link:0:d3,open_microwave,single,single:microwave_door:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:open_microwave:single:microwave_door:k2:m0:link:0:d4,open_microwave,single,single:microwave_door:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:wipe_desk:single:sponge:k1:m0:link:0:d0,wipe_desk,single,single:sponge:k1:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:wipe_desk:single:sponge:k1:m0:link:0:d1,wipe_desk,single,single:sponge:k1:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:wipe_desk:single:sponge:k1:m0:link:0:d2,wipe_desk,single,single:sponge:k1:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:wipe_desk:single:sponge:k1:m0:link:0:d3,wipe_desk,single,single:sponge:k1:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:wipe_desk:single:sponge:k1:m0:link:0:d4,wipe_desk,single,single:sponge:k1:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:bimanual_handover_item/left:left:item0:k2:m0:link:0:d0,bimanual_handover_item,left,left:item0:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:bimanual_handover_item/left:left:item0:k2:m0:link:0:d1,bimanual_handover_item,left,left:item0:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:bimanual_handover_item/left:left:item0:k2:m0:link:0:d2,bimanual_handover_item,left,left:item0:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:bimanual_handover_item/left:left:item0:k2:m0:link:0:d3,bimanual_handover_item,left,left:item0:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:bimanual_handover_item/left:left:item0:k2:m0:link:0:d4,bimanual_handover_item,left,left:item0:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d0,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,0,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d1,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,1,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d2,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,2,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d3,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,3,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d4,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,4,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_lift_tray/left:left:item:k2:m0:link:0:d0,bimanual_lift_tray,left,left:item:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
