trial_id,task,arm,event,demonstration,goal,baseline_success,baseline_action_count,proposed_success,proposed_action_count,completed_goal_count,legal_reentry_state_count
recover:stack_wine:single:wine_bottle:k2:m0:link:0:d0,stack_wine,single,single:wine_bottle:k2:m0:link:0,0,link,0,0,1,17,1,96
recover:stack_wine:single:wine_bottle:k2:m0:link:0:d1,stack_wine,single,single:wine_bottle:k2:m0:link:0,1,link,0,0,1,17,1,96
recover:stack_wine:single:wine_bottle:k2:m0:link:0:d2,stack_wine,single,single:wine_bottle:k2:m0:link:0,2,link,0,0,1,17,1,96
recover:stack_wine:single:wine_bottle:k2:m0:link:0:d3,stack_wine,single,single:wine_bottle:k2:m0:link:0,3,link,0,0,1,17,1,96
recover:stack_wine:single:wine_bottle:k2:m0:link:0:d4,stack_wine,single,single:wine_bottle:k2:m0:link:0,4,link,0,0,1,17,1,96
recover:place_cups:single:mug0:k2:m0:link:0:d0,place_cups,single,single:mug0:k2:m0:link:0,0,link,0,0,1,17,1,108
recover:place_cups:single:mug0:k2:m0:link:0:d1,place_cups,single,single:mug0:k2:m0:link:0,1,link,0,0,1,17,1,108
recover:place_cups:single:mug0:k2:m0:link:0:d2,place_cups,single,single:mug0:k2:m0:link:0,2,link,0,0,1,17,1,108
recover:place_cups:single:mug0:k2:m0:link:0:d3,place_cups,single,single:mug0:k2:m0:link:0,3,link,0,0,1,17,1,108
recover:place_cups:single:mug0:k2:m0:link:0:d4,place_cups,single,single:mug0:k2:m0:link:0,4,link,0,0,1,17,1,108
recover:place_cups:single:mug0:k4:m0:unlink:0:d0,place_cups,single,single:mug0:k4:m0:unlink:0,0,unlink,0,0,1,4,1,2
recover:place_cups:single:mug0:k4:m0:unlink:0:d1,place_cups,single,single:mug0:k4:m0:unlink:0,1,unlink,0,0,1,4,1,2
recover:place_cups:single:mug0:k4:m0:unlink:0:d2,place_cups,single,single:mug0:k4:m0:unlink:0,2,unlink,0,0,1,4,1,2
recover:place_cups:single:mug0:k4:m0:unlink:0:d3,place_cups,single,single:mug0:k4:m0:unlink:0,3,unlink,0,0,1,4,1,2
recover:place_cups:single:mug0:k4:m0:unlink:0:d4,place_cups,single,single:mug0:k4:m0:unlink:0,4,unlink,0,0,1,4,1,2
recover:open_microwave:single:microwave_door:k2:m0:link:0:d0,open_microwave,single,single:microwave_door:k2:m0:link:0,0,link,0,0,1,17,1,52
recover:open_microwave:single:microwave_door:k2:m0:link:0:d1,open_microwave,single,single:microwave_door:k2:m0:link:0,1,link,0,0,1,17,1,52
recover:open_microwave:single:microwave_door:k2:m0:link:0:d2,open_microwave,single,single:microwave_door:k2:m0:link:0,2,link,0,0,1,17,1,52
recover:open_microwave:single:microwave_door:k2:m0:link:0:d3,open_microwave,single,single:microwave_door:k2:m0:link:0,3,link,0,0,1,17,1,52
recover:open_microwave:single:microwave_door:k2:m0:link:0:d4,open_microwave,single,single:microwave_door:k2:m0:link:0,4,link,0,0,1,17,1,52
recover:wipe_desk:single:sponge:k1:m0:link:0:d0,wipe_desk,single,single:sponge:k1:m0:link:0,0,link,0,0,1,17,1,180
recover:wipe_desk:single:sponge:k1:m0:link:0:d1,wipe_desk,single,single:sponge:k1:m0:link:0,1,link,0,0,1,17,1,180
recover:wipe_desk:single:sponge:k1:m0:link:0:d2,wipe_desk,single,single:sponge:k1:m0:link:0,2,link,0,0,1,17,1,180
recover:wipe_desk:single:sponge:k1:m0:link:0:d3,wipe_desk,single,single:sponge:k1:m0:link:0,3,link,0,0,1,17,1,180
recover:wipe_desk:single:sponge:k1:m0:link:0:d4,wipe_desk,single,single:sponge:k1:m0:link:0,4,link,0,0,1,17,1,180
recover:bimanual_handover_item/left:left:item0:k2:m0:link:0:d0,bimanual_handover_item,left,left:item0:k2:m0:link:0,0,link,0,0,1,17,1,140
recover:bimanual_handover_item/left:left:item0:k2:m0:link:0:d1,bimanual_handover_item,left,left:item0:k2:m0:link:0,1,link,0,0,1,17,1,140
recover:bimanual_handover_item/left:left:item0:k2:m0:link:0:d2,bimanual_handover_item,left,left:item0:k2:m0:link:0,2,link,0,0,1,17,1,140
recover:bimanual_handover_item/left:left:item0:k2:m0:link:0:d3,bimanual_handover_item,left,left:item0:k2:m0:link:0,3,link,0,0,1,17,1,140
recover:bimanual_handover_item/left:left:item0:k2:m0:link:0:d4,bimanual_handover_item,left,left:item0:k2:m0:link:0,4,link,0,0,1,17,1,140
recover:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d0,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,0,unlink,0,0,1,4,1,4
recover:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d1,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,1,unlink,0,0,1,4,1,4
recover:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d2,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,2,unlink,0,0,1,3,1,4
recover:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d3,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,3,unlink,0,0,1,4,1,4
recover:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d4,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,4,unlink,0,0,1,3,1,4
recover:bimanual_lift_tray/left:left:item:k2:m0:link:0:d0,bimanual_lift_tray,left,left:item:k2:m0:link:0,0,link,0,0,1,17,1,29
recover:bimanual_lift_tray/left:left:item:k2:m0:link:0:d1,bimanual_lift_tray,left,left:item:k2:m0:link:0,1,link,0,0,1,17,1,29
recover:bimanual_lift_tray/left:left:item:k2:m0:link:0:d2,bimanual_lift_tray,left,left:item:k2:m0:link:0,2,link,0,0,1,17,1,29
recover:bimanual_lift_tray/left:left:item:k2:m0:link:0:d3,bimanual_lift_tray,left,left:item:k2:m0:link:0,3,link,0,0,1,17,1,29
recover:bimanual_lift_tray/left:left:item:k2:m0:link:0:d4,bimanual_lift_tray,left,left:item:k2:m0:link:0,4,link,0,0,1,17,1,29
recover:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d0,bimanual_lift_tray,left,left:tray:k2:m0:link:0,0,link,0,0,1,17,1,30
recover:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d1,bimanual_lift_tray,left,left:tray:k2:m0:link:0,1,link,0,0,1,17,1,30
recover:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d2,bimanual_lift_tray,left,left:tray:k2:m0:link:0,2,link,0,0,1,17,1,30
recover:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d3,bimanual_lift_tray,left,left:tray:k2:m0:link:0,3,link,0,0,1,17,1,30
recover:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d4,bimanual_lift_tray,left,left:tray:k2:m0:link:0,4,link,0,0,1,17,1,30
recover:bimanual_lift_tray/right:right:item:k2:m0:link:0:d0,bimanual_lift_tray,right,right:item:k2:m0:link:0,0,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:item:k2:m0:link:0:d1,bimanual_lift_tray,right,right:item:k2:m0:link:0,1,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:item:k2:m0:link:0:d2,bimanual_lift_tray,right,right:item:k2:m0:link:0,2,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:item:k2:m0:link:0:d3,bimanual_lift_tray,right,right:item:k2:m0:link:0,3,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:item:k2:m0:link:0:d4,bimanual_lift_tray,right,right:item:k2:m0:link:0,4,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d0,bimanual_lift_tray,right,right:tray:k2:m0:link:0,0,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d1,bimanual_lift_tray,right,right:tray:k2:m0:link:0,1,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d2,bimanual_lift_tray,right,right:tray:k2:m0:link:0,2,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d3,bimanual_lift_tray,right,right:tray:k2:m0:link:0,3,link,0,0,1,17,1,29
recover:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d4,bimanual_lift_tray,right,right:tray:k2:m0:link:0,4,link,0,0,1,17,1,29
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d0,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,0,link,0,0,1,17,1,156
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d1,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,1,link,0,0,1,17,1,156
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d2,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,2,link,0,0,1,17,1,156
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d3,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,3,link,0,0,1,17,1,156
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d4,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,4,link,0,0,1,17,1,156
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d0,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,0,unlink,0,0,1,4,1,2
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d1,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,1,unlink,0,0,1,4,1,2
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d2,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,2,unlink,0,0,1,4,1,2
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d3,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,3,unlink,0,0,1,4,1,2
recover:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d4,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,4,unlink,0,0,1,4,1,2
recover:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d0,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,0,link,0,0,1,17,1,55
recover:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d1,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,1,link,0,0,1,17,1,55
recover:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d2,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,2,link,0,0,1,17,1,55
recover:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d3,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,3,link,0,0,1,17,1,55
recover:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d4,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,4,link,0,0,1,17,1,55
