trial_id,task,arm,event,demonstration,physical_outcome,baseline_decision,baseline_resolved,proposed_decision,proposed_correct,action_count,probe_actions,return_actions,return_position_error,return_position_tolerance,maximum_orientation_error,maximum_gripper_error,probe_opposes_approach,progress_frozen,repeat_blocked,changed_context_allowed,pending_activation_correct
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d0:linked,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,0,linked,unknown,0,linked,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d0:external,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,0,external,unknown,0,external,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d1:linked,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,1,linked,unknown,0,linked,1,4,3,1,0.0010000000000000044,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d1:external,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,1,external,unknown,0,external,1,4,3,1,0.0010000000000000044,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d2:linked,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,2,linked,unknown,0,linked,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d2:external,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,2,external,unknown,0,external,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d3:linked,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,3,linked,unknown,0,linked,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d3:external,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,3,external,unknown,0,external,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d4:linked,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,4,linked,unknown,0,linked,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
verify:bimanual_handover_item/right:right:item0:k6:m0:link_pending:0:d4:external,bimanual_handover_item,right,right:item0:k6:m0:link_pending:0,4,external,unknown,0,external,1,3,2,1,0.0,0.002,0.0,0.0,1,1,1,1,1
