proposed_experiment,proposed_fault,reference_experiment,reference_fault,task,method,paired_episodes,proposed_rate,reference_rate,proposed_only_success,reference_only_success,mcnemar_exact_p,holm_adjusted_p
dynamic,,normal,,bimanual_handover_item,dynamac_v4,50,0.98,0.82,8,0,0.0078125,0.703125
dynamic,,normal,,bimanual_handover_item,full,50,0.88,0.92,2,4,0.6875,1.0
dynamic,,normal,,bimanual_handover_item,progress_dynamic_roles,50,0.72,0.68,7,5,0.7744140625,1.0
dynamic,,normal,,bimanual_handover_item,progress_only,50,0.68,0.74,7,10,0.629058837890625,1.0
dynamic,,normal,,bimanual_lift_tray,dynamac_v4,50,0.9,0.9,3,3,1.0,1.0
dynamic,,normal,,bimanual_lift_tray,full,50,0.9,1.0,0,5,0.0625,1.0
dynamic,,normal,,bimanual_lift_tray,progress_dynamic_roles,50,0.94,0.96,2,3,1.0,1.0
dynamic,,normal,,bimanual_lift_tray,progress_only,50,0.88,0.96,1,5,0.21875,1.0
dynamic,,normal,,bimanual_put_bottle_in_fridge,dynamac_v4,50,0.9,0.78,8,2,0.109375,1.0
dynamic,,normal,,bimanual_put_bottle_in_fridge,full,50,0.92,0.82,7,2,0.1796875,1.0
dynamic,,normal,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,50,0.88,0.84,3,1,0.625,1.0
dynamic,,normal,,bimanual_put_bottle_in_fridge,progress_only,50,0.88,0.84,5,3,0.7265625,1.0
dynamic,,normal,,bimanual_sweep_to_dustpan,dynamac_v4,50,1.0,0.96,2,0,0.5,1.0
dynamic,,normal,,bimanual_sweep_to_dustpan,full,50,0.98,0.98,1,1,1.0,1.0
dynamic,,normal,,bimanual_sweep_to_dustpan,progress_dynamic_roles,50,0.98,0.96,1,0,1.0,1.0
dynamic,,normal,,bimanual_sweep_to_dustpan,progress_only,50,1.0,1.0,0,0,1.0,1.0
dynamic,,normal,,open_microwave,dynamac_v4,50,1.0,0.98,1,0,1.0,1.0
dynamic,,normal,,open_microwave,full,50,0.98,0.98,1,1,1.0,1.0
dynamic,,normal,,open_microwave,progress_dynamic_roles,50,1.0,0.88,6,0,0.03125,1.0
dynamic,,normal,,open_microwave,progress_only,50,1.0,0.98,1,0,1.0,1.0
dynamic,,normal,,place_cups,dynamac_v4,50,1.0,0.96,2,0,0.5,1.0
dynamic,,normal,,place_cups,full,50,0.96,0.96,1,1,1.0,1.0
dynamic,,normal,,place_cups,progress_dynamic_roles,50,0.58,0.68,8,13,0.38331031799316406,1.0
dynamic,,normal,,place_cups,progress_only,50,0.68,0.64,7,5,0.7744140625,1.0
dynamic,,normal,,stack_wine,dynamac_v4,50,1.0,1.0,0,0,1.0,1.0
dynamic,,normal,,stack_wine,full,50,1.0,1.0,0,0,1.0,1.0
dynamic,,normal,,stack_wine,progress_dynamic_roles,50,1.0,1.0,0,0,1.0,1.0
dynamic,,normal,,stack_wine,progress_only,50,1.0,1.0,0,0,1.0,1.0
dynamic,,normal,,wipe_desk,dynamac_v4,50,0.7,0.76,2,5,0.453125,1.0
dynamic,,normal,,wipe_desk,full,50,0.62,0.78,0,8,0.0078125,0.703125
dynamic,,normal,,wipe_desk,progress_dynamic_roles,50,0.66,0.78,2,8,0.109375,1.0
dynamic,,normal,,wipe_desk,progress_only,50,0.66,0.74,2,6,0.2890625,1.0
fault,grasp_failure,dynamic,,bimanual_handover_item,dynamac_v4,50,0.72,0.98,1,14,0.0009765625,0.08984375
fault,grasp_failure,dynamic,,bimanual_handover_item,full,50,0.76,0.88,3,9,0.14599609375,1.0
fault,grasp_failure,dynamic,,bimanual_handover_item,progress_dynamic_roles,50,0.0,0.72,0,36,2.9103830456733704e-11,3.3760443329811096e-09
fault,grasp_failure,dynamic,,bimanual_handover_item,progress_only,50,0.52,0.68,4,12,0.076812744140625,1.0
fault,grasp_failure,dynamic,,bimanual_lift_tray,dynamac_v4,50,0.0,0.9,0,45,5.684341886080802e-14,7.503331289626658e-12
fault,grasp_failure,dynamic,,bimanual_lift_tray,full,50,0.0,0.9,0,45,5.684341886080802e-14,7.503331289626658e-12
fault,grasp_failure,dynamic,,bimanual_lift_tray,progress_dynamic_roles,50,0.0,0.94,0,47,1.4210854715202004e-14,1.9326762412674725e-12
fault,grasp_failure,dynamic,,bimanual_lift_tray,progress_only,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,grasp_failure,dynamic,,bimanual_put_bottle_in_fridge,dynamac_v4,50,0.0,0.9,0,45,5.684341886080802e-14,7.503331289626658e-12
fault,grasp_failure,dynamic,,bimanual_put_bottle_in_fridge,full,50,0.92,0.92,3,3,1.0,1.0
fault,grasp_failure,dynamic,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,grasp_failure,dynamic,,bimanual_put_bottle_in_fridge,progress_only,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,grasp_failure,dynamic,,bimanual_sweep_to_dustpan,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,bimanual_sweep_to_dustpan,full,50,0.98,0.98,1,1,1.0,1.0
fault,grasp_failure,dynamic,,bimanual_sweep_to_dustpan,progress_dynamic_roles,50,0.0,0.98,0,49,3.552713678800501e-15,4.973799150320701e-13
fault,grasp_failure,dynamic,,bimanual_sweep_to_dustpan,progress_only,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,open_microwave,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,open_microwave,full,50,0.94,0.98,1,3,0.625,1.0
fault,grasp_failure,dynamic,,open_microwave,progress_dynamic_roles,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,open_microwave,progress_only,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,place_cups,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,place_cups,full,50,0.96,0.96,1,1,1.0,1.0
fault,grasp_failure,dynamic,,place_cups,progress_dynamic_roles,50,0.0,0.58,0,29,3.725290298461914e-09,3.8370490074157715e-07
fault,grasp_failure,dynamic,,place_cups,progress_only,50,0.0,0.68,0,34,1.1641532182693481e-10,1.3271346688270569e-08
fault,grasp_failure,dynamic,,stack_wine,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,stack_wine,full,50,1.0,1.0,0,0,1.0,1.0
fault,grasp_failure,dynamic,,stack_wine,progress_dynamic_roles,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,grasp_failure,dynamic,,stack_wine,progress_only,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
