trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:stack_wine:d0:false_coupling_control:wine_bottle,stack_wine,single,0,false_coupling_control,false_coupling,0,wine_bottle,external,0,41,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280792,external,0
relation:stack_wine:d0:false_coupling_perturbed:wine_bottle,stack_wine,single,0,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,41,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d1:false_coupling_control:wine_bottle,stack_wine,single,1,false_coupling_control,false_coupling,0,wine_bottle,external,0,49,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280842,external,0
relation:stack_wine:d1:false_coupling_perturbed:wine_bottle,stack_wine,single,1,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,49,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d2:false_coupling_control:wine_bottle,stack_wine,single,2,false_coupling_control,false_coupling,0,wine_bottle,external,0,45,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280652,external,0
relation:stack_wine:d2:false_coupling_perturbed:wine_bottle,stack_wine,single,2,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,45,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d3:false_coupling_control:wine_bottle,stack_wine,single,3,false_coupling_control,false_coupling,0,wine_bottle,external,0,52,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280783,external,0
relation:stack_wine:d3:false_coupling_perturbed:wine_bottle,stack_wine,single,3,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,52,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d4:false_coupling_control:wine_bottle,stack_wine,single,4,false_coupling_control,false_coupling,0,wine_bottle,external,0,57,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280836,external,0
relation:stack_wine:d4:false_coupling_perturbed:wine_bottle,stack_wine,single,4,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,57,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d0:false_coupling_control:mug0,place_cups,single,0,false_coupling_control,false_coupling,0,mug0,external,0,43,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:place_cups:d0:false_coupling_perturbed:mug0,place_cups,single,0,false_coupling_perturbed,false_coupling,1,mug0,external,0,43,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d1:false_coupling_control:mug0,place_cups,single,1,false_coupling_control,false_coupling,0,mug0,external,0,32,12,0,0,,0.0,0.0,0.0,1.0,0.999999999628081,external,0
relation:place_cups:d1:false_coupling_perturbed:mug0,place_cups,single,1,false_coupling_perturbed,false_coupling,1,mug0,external,0,32,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d2:false_coupling_control:mug0,place_cups,single,2,false_coupling_control,false_coupling,0,mug0,external,0,40,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:place_cups:d2:false_coupling_perturbed:mug0,place_cups,single,2,false_coupling_perturbed,false_coupling,1,mug0,external,0,40,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d3:false_coupling_control:mug0,place_cups,single,3,false_coupling_control,false_coupling,0,mug0,external,0,39,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:place_cups:d3:false_coupling_perturbed:mug0,place_cups,single,3,false_coupling_perturbed,false_coupling,1,mug0,external,0,39,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d4:false_coupling_control:mug0,place_cups,single,4,false_coupling_control,false_coupling,0,mug0,external,0,43,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280798,external,0
relation:place_cups:d4:false_coupling_perturbed:mug0,place_cups,single,4,false_coupling_perturbed,false_coupling,1,mug0,external,0,43,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:open_microwave:d0:false_coupling_control:microwave_door,open_microwave,single,0,false_coupling_control,false_coupling,0,microwave_door,external,0,71,12,0,0,,0.0,0.0,0.0,1.0,0.9999999990767416,external,0
relation:open_microwave:d0:false_coupling_perturbed:microwave_door,open_microwave,single,0,false_coupling_perturbed,false_coupling,1,microwave_door,external,0,71,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:open_microwave:d1:false_coupling_control:microwave_door,open_microwave,single,1,false_coupling_control,false_coupling,0,microwave_door,external,0,77,12,0,0,,0.0,0.0,0.0,1.0,0.9999999987812047,external,0
relation:open_microwave:d1:false_coupling_perturbed:microwave_door,open_microwave,single,1,false_coupling_perturbed,false_coupling,1,microwave_door,external,0,77,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
