trial_id,task,arm,demonstration,scenario,magnitude,skill_index,anchor_local_index,ticks,baseline_mae,proposed_mae,mae_improvement,baseline_exact_rate,proposed_exact_rate,baseline_final_error,proposed_final_error,proposed_no_plausible_cycles,proposed_wins
progress:stack_wine:d0:normal:m0,stack_wine,single,0,normal,0,0,30,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:stack_wine:d0:stutter:m3,stack_wine,single,0,stutter,3,0,30,30,2.1,0.26666666666666666,1.8333333333333335,0.26666666666666666,0.7666666666666667,3.0,0.0,0,1
progress:stack_wine:d0:stutter:m6,stack_wine,single,0,stutter,6,0,30,33,4.090909090909091,0.42424242424242425,3.6666666666666665,0.24242424242424243,0.696969696969697,6.0,0.0,0,1
progress:stack_wine:d0:skip:m2,stack_wine,single,0,skip,2,0,30,25,1.36,0.04,1.32,0.32,0.96,2.0,0.0,0,1
progress:stack_wine:d0:skip:m4,stack_wine,single,0,skip,4,0,30,23,2.608695652173913,0.17391304347826086,2.4347826086956523,0.34782608695652173,0.8695652173913043,4.0,0.0,0,1
progress:stack_wine:d1:normal:m0,stack_wine,single,1,normal,0,0,30,27,0.0,0.1111111111111111,-0.1111111111111111,1.0,0.8888888888888888,0.0,1.0,0,0
progress:stack_wine:d1:stutter:m3,stack_wine,single,1,stutter,3,0,30,30,2.1,0.13333333333333333,1.9666666666666668,0.26666666666666666,0.8666666666666667,3.0,1.0,0,1
progress:stack_wine:d1:stutter:m6,stack_wine,single,1,stutter,6,0,30,33,4.090909090909091,0.30303030303030304,3.7878787878787876,0.24242424242424243,0.7575757575757576,6.0,1.0,0,1
progress:stack_wine:d1:skip:m2,stack_wine,single,1,skip,2,0,30,25,1.36,0.2,1.1600000000000001,0.32,0.84,2.0,1.0,0,1
progress:stack_wine:d1:skip:m4,stack_wine,single,1,skip,4,0,30,23,2.608695652173913,0.2608695652173913,2.347826086956522,0.34782608695652173,0.8260869565217391,4.0,1.0,0,1
progress:stack_wine:d2:normal:m0,stack_wine,single,2,normal,0,0,30,27,0.0,0.37037037037037035,-0.37037037037037035,1.0,0.6296296296296297,0.0,0.0,0,0
progress:stack_wine:d2:stutter:m3,stack_wine,single,2,stutter,3,0,30,30,2.1,0.4,1.7000000000000002,0.26666666666666666,0.6333333333333333,3.0,0.0,0,1
progress:stack_wine:d2:stutter:m6,stack_wine,single,2,stutter,6,0,30,33,4.090909090909091,0.5454545454545454,3.5454545454545454,0.24242424242424243,0.5757575757575758,6.0,0.0,0,1
progress:stack_wine:d2:skip:m2,stack_wine,single,2,skip,2,0,30,25,1.36,0.52,0.8400000000000001,0.32,0.48,2.0,0.0,0,1
progress:stack_wine:d2:skip:m4,stack_wine,single,2,skip,4,0,30,23,2.608695652173913,0.5652173913043478,2.0434782608695654,0.34782608695652173,0.5217391304347826,4.0,0.0,0,1
progress:stack_wine:d3:normal:m0,stack_wine,single,3,normal,0,0,30,27,0.0,0.6296296296296297,-0.6296296296296297,1.0,0.37037037037037035,0.0,1.0,0,0
progress:stack_wine:d3:stutter:m3,stack_wine,single,3,stutter,3,0,30,30,2.1,0.9,1.2000000000000002,0.26666666666666666,0.3333333333333333,3.0,1.0,0,1
progress:stack_wine:d3:stutter:m6,stack_wine,single,3,stutter,6,0,30,33,4.090909090909091,1.1515151515151516,2.9393939393939394,0.24242424242424243,0.30303030303030304,6.0,1.0,0,1
progress:stack_wine:d3:skip:m2,stack_wine,single,3,skip,2,0,30,25,1.36,0.56,0.8,0.32,0.44,2.0,1.0,0,1
progress:stack_wine:d3:skip:m4,stack_wine,single,3,skip,4,0,30,23,2.608695652173913,0.4782608695652174,2.130434782608696,0.34782608695652173,0.5217391304347826,4.0,1.0,0,1
progress:stack_wine:d4:normal:m0,stack_wine,single,4,normal,0,0,30,27,0.0,0.37037037037037035,-0.37037037037037035,1.0,0.6666666666666666,0.0,1.0,0,0
progress:stack_wine:d4:stutter:m3,stack_wine,single,4,stutter,3,0,30,30,2.1,0.16666666666666666,1.9333333333333333,0.26666666666666666,0.8666666666666667,3.0,1.0,0,1
progress:stack_wine:d4:stutter:m6,stack_wine,single,4,stutter,6,0,30,33,4.090909090909091,2.606060606060606,1.4848484848484849,0.24242424242424243,0.30303030303030304,6.0,4.0,22,1
progress:stack_wine:d4:skip:m2,stack_wine,single,4,skip,2,0,30,25,1.36,0.36,1.0,0.32,0.72,2.0,1.0,0,1
progress:stack_wine:d4:skip:m4,stack_wine,single,4,skip,4,0,30,23,2.608695652173913,0.6086956521739131,2.0,0.34782608695652173,0.6956521739130435,4.0,1.0,0,1
progress:place_cups:d0:normal:m0,place_cups,single,0,normal,0,3,29,27,0.0,0.037037037037037035,-0.037037037037037035,1.0,0.9629629629629629,0.0,1.0,0,0
progress:place_cups:d0:stutter:m3,place_cups,single,0,stutter,3,3,29,30,2.1,1.8,0.30000000000000004,0.26666666666666666,0.26666666666666666,3.0,1.0,0,1
progress:place_cups:d0:stutter:m6,place_cups,single,0,stutter,6,3,29,33,4.090909090909091,3.272727272727273,0.8181818181818179,0.24242424242424243,0.24242424242424243,6.0,3.0,0,1
progress:place_cups:d0:skip:m2,place_cups,single,0,skip,2,3,29,25,1.36,1.32,0.040000000000000036,0.32,0.32,2.0,2.0,0,1
progress:place_cups:d0:skip:m4,place_cups,single,0,skip,4,3,29,23,2.608695652173913,2.391304347826087,0.21739130434782616,0.34782608695652173,0.34782608695652173,4.0,3.0,0,1
progress:place_cups:d1:normal:m0,place_cups,single,1,normal,0,3,29,27,0.0,0.5555555555555556,-0.5555555555555556,1.0,0.4444444444444444,0.0,1.0,0,0
progress:place_cups:d1:stutter:m3,place_cups,single,1,stutter,3,3,29,30,2.1,0.9,1.2000000000000002,0.26666666666666666,0.5,3.0,0.0,0,1
progress:place_cups:d1:stutter:m6,place_cups,single,1,stutter,6,3,29,33,4.090909090909091,2.3333333333333335,1.7575757575757573,0.24242424242424243,0.24242424242424243,6.0,1.0,0,1
progress:place_cups:d1:skip:m2,place_cups,single,1,skip,2,3,29,25,1.36,1.32,0.040000000000000036,0.32,0.32,2.0,1.0,0,1
progress:place_cups:d1:skip:m4,place_cups,single,1,skip,4,3,29,23,2.608695652173913,2.391304347826087,0.21739130434782616,0.34782608695652173,0.34782608695652173,4.0,3.0,0,1
progress:place_cups:d2:normal:m0,place_cups,single,2,normal,0,3,29,27,0.0,0.48148148148148145,-0.48148148148148145,1.0,0.6666666666666666,0.0,2.0,0,0
progress:place_cups:d2:stutter:m3,place_cups,single,2,stutter,3,3,29,30,2.1,2.3666666666666667,-0.2666666666666666,0.26666666666666666,0.26666666666666666,3.0,4.0,0,0
progress:place_cups:d2:stutter:m6,place_cups,single,2,stutter,6,3,29,33,4.090909090909091,4.0,0.09090909090909083,0.24242424242424243,0.24242424242424243,6.0,5.0,0,1
progress:place_cups:d2:skip:m2,place_cups,single,2,skip,2,3,29,25,1.36,0.92,0.44000000000000006,0.32,0.44,2.0,0.0,0,1
progress:place_cups:d2:skip:m4,place_cups,single,2,skip,4,3,29,23,2.608695652173913,2.260869565217391,0.34782608695652195,0.34782608695652173,0.34782608695652173,4.0,2.0,0,1
progress:place_cups:d3:normal:m0,place_cups,single,3,normal,0,3,29,27,0.0,0.8148148148148148,-0.8148148148148148,1.0,0.4444444444444444,0.0,3.0,0,0
