task,arm,boundary,transaction_group,normal_demonstrations,positive_support_separated,normal_terminal_score_floor,normal_preterminal_score_ceiling,local_score_threshold,maximum_preterminal_ready_run,confirmation_cycles,confirmation_seconds,minimum_terminal_hold_ready_run,status
bimanual_handover_item,left,left:0->1,,5,0,0.004111863682748957,0.04061992950809203,0.0032894909461991654,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:1->2,,5,0,0.009977255719028227,0.029759607073344824,0.007981804575222582,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:2->3,,5,0,0.001487601244440593,0.07163035052110525,0.0011900809955524745,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:3->4,,5,1,0.03886139228223928,2.1514172094899403e-10,0.019430696248690503,0,2,0.1,41,calibrated
bimanual_handover_item,left,left:4->5,,5,0,0.028778047010276527,0.0744017826408734,0.023022437608221223,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:5->6,,5,0,0.2653054253801331,0.5850668803232351,0.21224434030410647,1,2,0.1,41,calibrated
bimanual_handover_item,right,right:0->1,,5,0,0.0034339156431895945,0.24759354001270545,0.002747132514551676,1,2,0.1,41,calibrated
bimanual_handover_item,right,right:1->2,,5,0,0.13164924328392613,0.14588268515460073,0.1053193946271409,1,2,0.1,41,calibrated
bimanual_handover_item,right,right:2->3,,5,1,0.9980028985425583,0.15480809482124652,0.5764054966819024,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:3->4,,5,1,0.9984811862740035,0.18057204763569729,0.5895266169548504,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:4->5,,5,1,0.9978333957261268,0.180426025053662,0.5891297103898945,0,2,0.1,41,calibrated
bimanual_handover_item,right,right:5->6,,5,1,0.29490304952327406,0.04470079851732375,0.16980192402029892,0,2,0.1,41,calibrated
bimanual_lift_tray,left,left:0->1,,5,0,0.00656495711954452,0.04270815672718224,0.005251965695635616,1,2,0.1,41,calibrated
bimanual_lift_tray,left,left:1->2,joint:left-k1-to-2:right-k1-to-2:item-tray,5,0,0.0019978162020341706,0.02174576935081318,0.0015982529616273364,1,2,0.1,41,calibrated
bimanual_lift_tray,right,right:0->1,,5,0,0.007837935664352973,0.0473218225566954,0.006270348531482378,1,2,0.1,41,calibrated
bimanual_lift_tray,right,right:1->2,joint:left-k1-to-2:right-k1-to-2:item-tray,5,0,0.0014653059498082835,0.002020338509764291,0.0011722447598466268,1,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,left,left:0->1,,5,1,0.09702264610505847,4.002577679843078e-05,0.04853133594092845,0,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,left,left:1->2,,5,1,0.059289783226709594,7.781984150897797e-08,0.02964493052327555,0,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,right,right:0->1,,5,1,0.991093235900516,1.8679934467103262e-55,0.495546617950258,0,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,right,right:1->2,,5,1,0.89939154004796,2.1704794617111105e-25,0.44969577002398,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:0->1,,5,1,0.06946085537316572,5.746976257782796e-10,0.03473042797393167,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:1->2,,5,1,0.9943429218759435,1.1342542173743878e-131,0.49717146093797177,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:2->3,,5,1,0.9972149207423593,0.15442889948352675,0.575821910112943,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,left,left:3->4,,5,1,0.49988394092015626,0.014509944967627158,0.2571969429438917,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:0->1,,5,1,0.0030607133576275266,5.564694431367185e-21,0.0015303566788137633,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:1->2,,5,1,0.0013254524842053771,8.028898479692986e-13,0.0006627262425041335,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:2->3,,5,1,0.028206143213930234,2.8032285946589457e-09,0.014103073008579414,0,2,0.1,41,calibrated
bimanual_sweep_to_dustpan,right,right:3->4,,5,1,0.6173714108413022,0.15924700313339601,0.3883092069873491,0,2,0.1,41,calibrated
open_microwave,single,single:0->1,,5,1,0.016693055280591708,1.3502389493786115e-10,0.008346527707807801,0,2,0.1,41,calibrated
open_microwave,single,single:1->2,,5,1,0.012968346289628794,4.063464029990461e-47,0.006484173144814397,0,2,0.1,41,calibrated
place_cups,single,single:0->1,,5,1,0.1591321416158254,1.676982340132879e-27,0.0795660708079127,0,2,0.1,41,calibrated
place_cups,single,single:1->2,,5,1,0.7138315528013148,7.28259679448758e-13,0.35691577640102157,0,2,0.1,41,calibrated
place_cups,single,single:2->3,,5,1,0.14799399525082688,0.03337198139725368,0.09068298832404029,0,2,0.1,41,calibrated
place_cups,single,single:3->4,,5,1,0.36146568567623144,0.0011286690023792033,0.1812971773393053,0,2,0.1,41,calibrated
stack_wine,single,single:0->1,,5,1,0.11076974584430238,8.072166652084549e-48,0.05538487292215119,0,2,0.1,41,calibrated
stack_wine,single,single:1->2,,5,1,0.8030247754244346,5.996929237368446e-28,0.4015123877122173,0,2,0.1,41,calibrated
stack_wine,single,single:2->3,,5,1,0.024495949194684417,0.0006495129832271401,0.012572731088955779,0,2,0.1,41,calibrated
wipe_desk,single,single:0->1,,5,1,0.20330504134593708,4.391407084145243e-08,0.10165254263000396,0,2,0.1,41,calibrated
wipe_desk,single,single:1->2,,5,0,0.06359643110075279,0.329764489107925,0.050877144880602236,3,4,0.2,41,calibrated
wipe_desk,single,single:2->3,,5,1,0.39266779834570115,1.256388141245701e-27,0.19633389917285057,0,2,0.1,41,calibrated
