task,arm,demonstration,boundary,source_skill,target_skill,source_duration,terminal_window_size,final_progress_status,final_progress_supported,final_estimated_in_terminal_window,final_end_probability,final_best_explanation_score,terminal_supported_samples,terminal_sample_count,terminal_minimum_end_probability,nonterminal_maximum_end_probability,goal_count,goal_observed_all,goal_support_all,goal_minimum_compatibility,goal_minimum_log_margin,own_relation_count,own_relation_observed_all,own_relation_stable_all,own_relation_match_all,own_relation_minimum_target_probability,own_relation_minimum_compatibility,guard_relation_count,guard_relation_observed_all,guard_relation_stable_all,guard_relation_match_all,guard_relation_minimum_target_probability,guard_relation_minimum_compatibility,guard_scene_count,guard_scene_observed_all,guard_scene_support_all,guard_scene_minimum_compatibility,local_ready_streak,all_conditions_ready_streak
stack_wine,single,0,single:0->1,0,1,72,3,aligned,1,1,1.0,0.1530113161972513,3,3,0.9937368932107928,1.1812872353259782e-10,2,1,1,0.045561737267263716,0.6197003932376468,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,0,single:1->2,1,2,11,3,aligned,1,1,0.9999999999999999,0.9285390722216705,3,3,0.9999998050432356,0.0001724070634531586,1,1,1,0.9308605267985086,0.14772400690501541,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,0,single:2->3,2,3,59,3,aligned,1,1,1.0,0.0552284321537704,3,3,0.8774477853577345,0.04016032517374652,1,1,1,0.05522980678011766,0.42404978999290677,1,1,1,1,0.9999767092419793,0.6999906836967917,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,1,single:0->1,0,1,72,3,aligned,1,1,1.0,0.2660444527600444,3,3,0.9362406956198146,2.0318369110426017e-12,2,1,1,0.22909210730506938,0.21028696243763534,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,1,single:1->2,1,2,11,3,aligned,1,1,0.9999999999999999,0.8676370972532456,3,3,0.9999991408439285,1.8283907899464085e-05,1,1,1,0.869211583795273,0.07920107263502274,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,1,single:2->3,2,3,59,3,aligned,1,1,1.0000000000000002,0.03614100826745203,3,3,0.9951782588483171,0.4072774376178518,1,1,1,0.036141905244478474,0.0,1,1,1,1,0.9999767091948688,0.6999906836779475,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
stack_wine,single,2,single:0->1,0,1,72,3,aligned,1,1,1.0,0.27768696252495234,3,3,0.9999981759452945,0.5166004665801179,2,1,1,0.18564521013923554,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,2,single:1->2,1,2,11,3,aligned,1,1,1.0000000000000002,0.8651211396531778,3,3,0.9999701141666612,9.113098735791097e-08,1,1,1,0.8661724241634298,0.075698468680379,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,2,single:2->3,2,3,59,3,aligned,1,1,0.9999999999999999,0.30929076913835835,3,3,0.8730422172928545,0.04095542035423585,1,1,1,0.3092954625025236,2.146844014966188,1,1,1,1,0.9999942904871716,0.6999977161948686,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
stack_wine,single,3,single:0->1,0,1,72,3,aligned,1,1,1.0,0.11071624663435013,3,3,0.9997557291182301,2.781786313294129e-08,2,1,1,0.02451702760307123,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,3,single:1->2,1,2,11,3,aligned,1,1,1.0,0.8528121412237025,3,3,0.9999837473391028,5.4309675592761e-07,1,1,1,0.854739295819464,0.062410993300197504,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
stack_wine,single,3,single:2->3,2,3,59,3,low_confidence,1,1,1.0,0.5792175180072652,3,3,0.7105620401562395,0.01043054756985924,1,1,1,0.2802377710720007,2.0481854743973322,1,1,1,1,0.9999597517131747,0.6999839006852698,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
