task,arm,demonstration,boundary,state,family,condition,target,observed,reliability,decision_stable,target_decision_match,compatibility,threshold,log_likelihood,log_likelihood_margin,threshold_pass,decision,target_probability
stack_wine,single,0,single:0->1,k0:t1,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-182458.02708572499,-182474.49804220538,0,,
stack_wine,single,0,single:0->1,k0:t1,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-457913.2851469603,-457945.18910297524,0,,
stack_wine,single,0,single:0->1,k0:t2,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-181835.16224094955,-181851.63319742994,0,,
stack_wine,single,0,single:0->1,k0:t2,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-456481.6145386722,-456513.51849468716,0,,
stack_wine,single,0,single:0->1,k0:t3,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-180747.47835722243,-180763.94931370282,0,,
stack_wine,single,0,single:0->1,k0:t3,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-453881.61705567944,-453913.5210116944,0,,
stack_wine,single,0,single:0->1,k0:t4,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-179117.68575763193,-179134.15671411232,0,,
stack_wine,single,0,single:0->1,k0:t4,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-449980.4596993347,-450012.36365534965,0,,
stack_wine,single,0,single:0->1,k0:t5,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-176924.24617570126,-176940.71713218166,0,,
stack_wine,single,0,single:0->1,k0:t5,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-444678.99973560317,-444710.9036916181,0,,
stack_wine,single,0,single:0->1,k0:t6,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-174201.1611991512,-174217.63215563158,0,,
stack_wine,single,0,single:0->1,k0:t6,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-438081.07706983667,-438112.9810258516,0,,
stack_wine,single,0,single:0->1,k0:t7,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-171178.39979754994,-171194.87075403033,0,,
stack_wine,single,0,single:0->1,k0:t7,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-430745.11767661566,-430777.0216326306,0,,
stack_wine,single,0,single:0->1,k0:t8,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-167961.28759682694,-167977.75855330733,0,,
stack_wine,single,0,single:0->1,k0:t8,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-422957.75246223155,-422989.6564182465,0,,
stack_wine,single,0,single:0->1,k0:t9,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-164595.36524824967,-164611.83620473006,0,,
stack_wine,single,0,single:0->1,k0:t9,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-414782.21773275523,-414814.1216887702,0,,
stack_wine,single,0,single:0->1,k0:t10,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-161138.82725508616,-161155.29821156655,0,,
stack_wine,single,0,single:0->1,k0:t10,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-406360.31209123885,-406392.2160472538,0,,
stack_wine,single,0,single:0->1,k0:t11,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-157550.42455286803,-157566.89550934843,0,,
stack_wine,single,0,single:0->1,k0:t11,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-397622.6886919942,-397654.59264800913,0,,
stack_wine,single,0,single:0->1,k0:t12,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-153878.47761476878,-153894.94857124917,0,,
stack_wine,single,0,single:0->1,k0:t12,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-388677.23728466115,-388709.1412406761,0,,
stack_wine,single,0,single:0->1,k0:t13,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-150120.10565755496,-150136.57661403535,0,,
stack_wine,single,0,single:0->1,k0:t13,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-379489.2791137713,-379521.18306978623,0,,
stack_wine,single,0,single:0->1,k0:t14,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-146296.22946640957,-146312.70042288996,0,,
stack_wine,single,0,single:0->1,k0:t14,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-370121.95688043884,-370153.8608364538,0,,
stack_wine,single,0,single:0->1,k0:t15,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-142402.74514488515,-142419.21610136554,0,,
stack_wine,single,0,single:0->1,k0:t15,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-360568.4561852489,-360600.36014126387,0,,
stack_wine,single,0,single:0->1,k0:t16,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-138452.17779701587,-138468.64875349627,0,,
stack_wine,single,0,single:0->1,k0:t16,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-350874.1437072735,-350906.0476632885,0,,
stack_wine,single,0,single:0->1,k0:t17,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-134473.9402871843,-134490.41124366468,0,,
stack_wine,single,0,single:0->1,k0:t17,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-341074.7259653762,-341106.62992139114,0,,
stack_wine,single,0,single:0->1,k0:t18,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-134473.9402871843,-134490.41124366468,0,,
stack_wine,single,0,single:0->1,k0:t18,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-341074.7259653762,-341106.62992139114,0,,
stack_wine,single,0,single:0->1,k0:t19,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-130431.80454678221,-130448.2755032626,0,,
stack_wine,single,0,single:0->1,k0:t19,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-331105.53730329295,-331137.4412593079,0,,
stack_wine,single,0,single:0->1,k0:t20,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-126330.40539217905,-126346.87634865944,0,,
stack_wine,single,0,single:0->1,k0:t20,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-320987.83244776155,-321019.7364037765,0,,
stack_wine,single,0,single:0->1,k0:t21,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-122208.3277744175,-122224.79873089789,0,,
stack_wine,single,0,single:0->1,k0:t21,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-310800.3714156273,-310832.27537164226,0,,
stack_wine,single,0,single:0->1,k0:t22,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-118086.09750147858,-118102.56845795897,0,,
stack_wine,single,0,single:0->1,k0:t22,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-300576.7364926569,-300608.6404486719,0,,
stack_wine,single,0,single:0->1,k0:t23,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-113926.6917978588,-113943.1627543392,0,,
stack_wine,single,0,single:0->1,k0:t23,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-290256.8883020595,-290288.79225807445,0,,
stack_wine,single,0,single:0->1,k0:t24,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-109775.70686037834,-109792.17781685873,0,,
stack_wine,single,0,single:0->1,k0:t24,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-279921.4425614185,-279953.34651743347,0,,
stack_wine,single,0,single:0->1,k0:t25,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-105605.58493930276,-105622.05589578315,0,,
stack_wine,single,0,single:0->1,k0:t25,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-269538.3155233453,-269570.21947936027,0,,
stack_wine,single,0,single:0->1,k0:t26,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-101447.3149280062,-101463.7858844866,0,,
