trial_id,task,arm,event,demonstration,boundary,blocked_without_guard,guard_rejection_recorded,selected_with_guard
guard:stack_wine:single:wine_bottle:k2:m0:link:0:d0:k2-k3,stack_wine,single,single:wine_bottle:k2:m0:link:0,0,single:2->3,1,1,1
guard:stack_wine:single:wine_bottle:k2:m0:link:0:d1:k2-k3,stack_wine,single,single:wine_bottle:k2:m0:link:0,1,single:2->3,1,1,1
guard:stack_wine:single:wine_bottle:k2:m0:link:0:d2:k2-k3,stack_wine,single,single:wine_bottle:k2:m0:link:0,2,single:2->3,1,1,1
guard:stack_wine:single:wine_bottle:k2:m0:link:0:d3:k2-k3,stack_wine,single,single:wine_bottle:k2:m0:link:0,3,single:2->3,1,1,1
guard:stack_wine:single:wine_bottle:k2:m0:link:0:d4:k2-k3,stack_wine,single,single:wine_bottle:k2:m0:link:0,4,single:2->3,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d0:k2-k3,place_cups,single,single:mug0:k2:m0:link:0,0,single:2->3,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d0:k3-k4,place_cups,single,single:mug0:k2:m0:link:0,0,single:3->4,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d1:k2-k3,place_cups,single,single:mug0:k2:m0:link:0,1,single:2->3,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d1:k3-k4,place_cups,single,single:mug0:k2:m0:link:0,1,single:3->4,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d2:k2-k3,place_cups,single,single:mug0:k2:m0:link:0,2,single:2->3,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d2:k3-k4,place_cups,single,single:mug0:k2:m0:link:0,2,single:3->4,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d3:k2-k3,place_cups,single,single:mug0:k2:m0:link:0,3,single:2->3,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d3:k3-k4,place_cups,single,single:mug0:k2:m0:link:0,3,single:3->4,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d4:k2-k3,place_cups,single,single:mug0:k2:m0:link:0,4,single:2->3,1,1,1
guard:place_cups:single:mug0:k2:m0:link:0:d4:k3-k4,place_cups,single,single:mug0:k2:m0:link:0,4,single:3->4,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d0:k1-k2,wipe_desk,single,single:sponge:k1:m0:link:0,0,single:1->2,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d0:k2-k3,wipe_desk,single,single:sponge:k1:m0:link:0,0,single:2->3,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d1:k1-k2,wipe_desk,single,single:sponge:k1:m0:link:0,1,single:1->2,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d1:k2-k3,wipe_desk,single,single:sponge:k1:m0:link:0,1,single:2->3,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d2:k1-k2,wipe_desk,single,single:sponge:k1:m0:link:0,2,single:1->2,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d2:k2-k3,wipe_desk,single,single:sponge:k1:m0:link:0,2,single:2->3,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d3:k1-k2,wipe_desk,single,single:sponge:k1:m0:link:0,3,single:1->2,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d3:k2-k3,wipe_desk,single,single:sponge:k1:m0:link:0,3,single:2->3,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d4:k1-k2,wipe_desk,single,single:sponge:k1:m0:link:0,4,single:1->2,1,1,1
guard:wipe_desk:single:sponge:k1:m0:link:0:d4:k2-k3,wipe_desk,single,single:sponge:k1:m0:link:0,4,single:2->3,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d0:k2-k3,bimanual_handover_item,left,left:item0:k2:m0:link:0,0,left:2->3,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d0:k3-k4,bimanual_handover_item,left,left:item0:k2:m0:link:0,0,left:3->4,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d0:k4-k5,bimanual_handover_item,left,left:item0:k2:m0:link:0,0,left:4->5,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d0:k5-k6,bimanual_handover_item,left,left:item0:k2:m0:link:0,0,left:5->6,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d1:k2-k3,bimanual_handover_item,left,left:item0:k2:m0:link:0,1,left:2->3,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d1:k3-k4,bimanual_handover_item,left,left:item0:k2:m0:link:0,1,left:3->4,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d1:k4-k5,bimanual_handover_item,left,left:item0:k2:m0:link:0,1,left:4->5,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d1:k5-k6,bimanual_handover_item,left,left:item0:k2:m0:link:0,1,left:5->6,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d2:k2-k3,bimanual_handover_item,left,left:item0:k2:m0:link:0,2,left:2->3,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d2:k3-k4,bimanual_handover_item,left,left:item0:k2:m0:link:0,2,left:3->4,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d2:k4-k5,bimanual_handover_item,left,left:item0:k2:m0:link:0,2,left:4->5,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d2:k5-k6,bimanual_handover_item,left,left:item0:k2:m0:link:0,2,left:5->6,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d3:k2-k3,bimanual_handover_item,left,left:item0:k2:m0:link:0,3,left:2->3,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d3:k3-k4,bimanual_handover_item,left,left:item0:k2:m0:link:0,3,left:3->4,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d3:k4-k5,bimanual_handover_item,left,left:item0:k2:m0:link:0,3,left:4->5,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d3:k5-k6,bimanual_handover_item,left,left:item0:k2:m0:link:0,3,left:5->6,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d4:k2-k3,bimanual_handover_item,left,left:item0:k2:m0:link:0,4,left:2->3,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d4:k3-k4,bimanual_handover_item,left,left:item0:k2:m0:link:0,4,left:3->4,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d4:k4-k5,bimanual_handover_item,left,left:item0:k2:m0:link:0,4,left:4->5,1,1,1
guard:bimanual_handover_item/left:left:item0:k2:m0:link:0:d4:k5-k6,bimanual_handover_item,left,left:item0:k2:m0:link:0,4,left:5->6,1,1,1
guard:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d0:k3-k4,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,0,left:3->4,1,1,1
guard:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d1:k3-k4,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,1,left:3->4,1,1,1
guard:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d2:k3-k4,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,2,left:3->4,1,1,1
guard:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d3:k3-k4,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,3,left:3->4,1,1,1
