trial_id,task,arm,event,demonstration,skill,direction,candidate_count,source_state,truth_state,selected_state,baseline_state_error,reference_state_error,reference_selected,reference_exact,proposed_state_error,proposed_selected,proposed_exact,proposed_wins,atomic_commit_correct,truth_robot_compatibility,truth_scene_compatibility,truth_relation_compatibility,truth_explanation_score,truth_rejection_reasons,reference_truth_rejection_reasons
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d0:k2:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,0,2,forward_clock_lag,57,k2:t2,k2:t58,k2:t58,56,0,1,1,0,1,1,1,1,0.05522980678011628,1.0,0.6799999999999999,0.05365181230068439,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d0:k2:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,0,2,backward_recovery,57,k2:t58,k2:t2,k2:t2,56,0,1,1,0,1,1,1,1,0.890427279760762,1.0,0.6799999999999999,0.8649865003390259,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d0:k3:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,0,3,forward_clock_lag,39,k3:t0,k3:t38,k3:t38,38,0,1,1,0,1,1,1,1,0.10410567160716781,1.0,0.6799999999999999,0.10113122384696302,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d0:k3:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,0,3,backward_recovery,39,k3:t38,k3:t0,k3:t0,38,0,1,1,0,1,1,1,1,0.24644638815748798,1.0,0.6799999999999999,0.23940506278155976,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d1:k2:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,1,2,forward_clock_lag,57,k2:t2,k2:t58,k2:t58,56,0,1,1,0,1,1,1,1,0.03614190524447785,1.0,0.6799999999999999,0.03510927938034991,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d1:k2:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,1,2,backward_recovery,57,k2:t58,k2:t2,k2:t2,56,0,1,1,0,1,1,1,1,0.9790025540442849,1.0,0.6799999999999999,0.9510310525001625,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d1:k3:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,1,3,forward_clock_lag,39,k3:t0,k3:t38,k3:t38,38,0,1,1,0,1,1,1,1,0.4659707542958223,1.0,0.6799999999999999,0.45265730417308453,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d1:k3:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,1,3,backward_recovery,39,k3:t38,k3:t0,k3:t0,38,0,1,1,0,1,1,1,1,0.1806694201097423,1.0,0.6799999999999999,0.17550743667803537,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d2:k2:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,2,2,forward_clock_lag,57,k2:t2,k2:t58,k2:t58,56,0,1,1,0,1,1,1,1,0.30929546250253576,1.0,0.6799999999999999,0.3004584492881776,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d2:k2:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,2,2,backward_recovery,57,k2:t58,k2:t2,k2:t2,56,0,1,1,0,1,1,1,1,0.9080354683299187,1.0,0.6799999999999999,0.8820915978062067,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d2:k3:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,2,3,forward_clock_lag,39,k3:t0,k3:t38,k3:t38,38,0,1,1,0,1,1,1,1,0.6214560567785227,1.0,0.6799999999999999,0.6037001694419935,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d2:k3:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,2,3,backward_recovery,39,k3:t38,k3:t0,k3:t0,38,0,1,1,0,1,1,1,1,0.5264593342671317,1.0,0.6799999999999999,0.5114176390023565,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d3:k2:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,3,2,forward_clock_lag,57,k2:t2,k2:t58,k2:t57,56,1,1,0,1,1,0,1,1,0.2802377710720378,1.0,0.6799999999999999,0.2722309776128367,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d3:k2:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,3,2,backward_recovery,57,k2:t58,k2:t2,k2:t2,56,0,1,1,0,1,1,1,1,0.9661786393033767,1.0,0.6799999999999999,0.9385735353232801,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d3:k3:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,3,3,forward_clock_lag,39,k3:t0,k3:t38,k3:t37,38,1,1,0,1,1,0,1,1,0.6185816062615161,1.0,0.6799999999999999,0.6009078460826157,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d3:k3:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,3,3,backward_recovery,39,k3:t38,k3:t0,k3:t0,38,0,1,1,0,1,1,1,1,0.5160014014288745,1.0,0.6799999999999999,0.5012585042451924,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d4:k2:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,4,2,forward_clock_lag,57,k2:t2,k2:t58,k2:t58,56,0,1,1,0,1,1,1,1,0.04958788898333821,1.0,0.6799999999999999,0.04817109215524284,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d4:k2:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,4,2,backward_recovery,57,k2:t58,k2:t2,k2:t2,56,0,1,1,0,1,1,1,1,0.983869045847946,1.0,0.6799999999999999,0.9557585016808618,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d4:k3:forward_clock_lag,stack_wine,single,single:wine_bottle:k2:m0:link:0,4,3,forward_clock_lag,39,k3:t0,k3:t38,k3:t38,38,0,1,1,0,1,1,1,1,0.08789532829721781,1.0,0.6799999999999999,0.08538403320301159,,
reentry:stack_wine:single:wine_bottle:k2:m0:link:0:d4:k3:backward_recovery,stack_wine,single,single:wine_bottle:k2:m0:link:0,4,3,backward_recovery,39,k3:t38,k3:t0,k3:t0,38,0,1,1,0,1,1,1,1,0.24206149923188833,1.0,0.6799999999999999,0.23514545639669152,,
reentry:place_cups:single:mug0:k2:m0:link:0:d0:k2:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,0,2,forward_clock_lag,13,k2:t2,k2:t14,k2:t13,12,1,1,0,1,1,0,1,1,0.25861435902772173,1.0,0.6799999999999999,0.2512253773412154,,
reentry:place_cups:single:mug0:k2:m0:link:0:d0:k2:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,0,2,backward_recovery,13,k2:t14,k2:t2,k2:t2,12,0,1,1,0,1,1,1,1,0.9268190756251028,1.0,0.6799999999999999,0.9003385306072427,,
reentry:place_cups:single:mug0:k2:m0:link:0:d0:k3:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,0,3,forward_clock_lag,70,k3:t0,k3:t69,k3:t69,69,0,1,1,0,1,1,1,1,0.5988521826793952,1.0,0.6799999999999999,0.5817421203171268,,
reentry:place_cups:single:mug0:k2:m0:link:0:d0:k3:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,0,3,backward_recovery,70,k3:t69,k3:t0,k3:t0,69,0,1,1,0,1,1,1,1,0.3806013975672031,1.0,0.6799999999999999,0.3697270719224259,,
reentry:place_cups:single:mug0:k2:m0:link:0:d0:k4:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,0,4,forward_clock_lag,25,k4:t0,k4:t24,k4:t23,24,1,1,0,1,1,0,1,1,0.6862421868770477,1.0,0.6799999999999999,0.6666352672519892,,
reentry:place_cups:single:mug0:k2:m0:link:0:d0:k4:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,0,4,backward_recovery,25,k4:t24,k4:t0,k4:t0,24,0,1,1,0,1,1,1,1,1.0,1.0,0.6799999999999999,0.9714285714285714,,
reentry:place_cups:single:mug0:k2:m0:link:0:d1:k2:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,1,2,forward_clock_lag,13,k2:t2,k2:t14,k2:t13,12,1,1,0,1,1,0,1,1,0.4785314658914274,1.0,0.6799999999999999,0.4648591382945295,,
reentry:place_cups:single:mug0:k2:m0:link:0:d1:k2:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,1,2,backward_recovery,13,k2:t14,k2:t2,k2:t2,12,0,1,1,0,1,1,1,1,0.2566159958308739,1.0,0.6799999999999999,0.24928411023570607,,
reentry:place_cups:single:mug0:k2:m0:link:0:d1:k3:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,1,3,forward_clock_lag,70,k3:t0,k3:t69,k3:t69,69,0,1,1,0,1,1,1,1,0.4365922567422559,1.0,0.6799999999999999,0.4241181922639057,,
reentry:place_cups:single:mug0:k2:m0:link:0:d1:k3:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,1,3,backward_recovery,70,k3:t69,k3:t0,k3:t0,69,0,1,1,0,1,1,1,1,0.07384135920822518,1.0,0.6799999999999999,0.07173160608799017,,
reentry:place_cups:single:mug0:k2:m0:link:0:d1:k4:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,1,4,forward_clock_lag,25,k4:t0,k4:t24,k4:t23,24,1,1,0,1,1,0,1,1,0.41234571934471637,1.0,0.6799999999999999,0.40056441307772445,,
reentry:place_cups:single:mug0:k2:m0:link:0:d1:k4:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,1,4,backward_recovery,25,k4:t24,k4:t0,k4:t0,24,0,1,1,0,1,1,1,1,1.0,1.0,0.6799999999999999,0.9714285714285714,,
reentry:place_cups:single:mug0:k2:m0:link:0:d2:k2:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,2,2,forward_clock_lag,13,k2:t2,k2:t14,k2:t14,12,0,1,1,0,1,1,1,1,0.6832265147901688,1.0,0.6799999999999999,0.6637057572247355,,
reentry:place_cups:single:mug0:k2:m0:link:0:d2:k2:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,2,2,backward_recovery,13,k2:t14,k2:t2,k2:t2,12,0,1,1,0,1,1,1,1,0.783076080464222,1.0,0.6799999999999999,0.7607024781652442,,
reentry:place_cups:single:mug0:k2:m0:link:0:d2:k3:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,2,3,forward_clock_lag,70,k3:t0,k3:t69,k3:t68,69,1,1,0,1,1,0,1,1,0.3614656856762315,1.0,0.6799999999999999,0.3511380946569106,,
reentry:place_cups:single:mug0:k2:m0:link:0:d2:k3:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,2,3,backward_recovery,70,k3:t69,k3:t0,k3:t1,69,1,1,0,1,1,0,1,1,0.08265049870755091,1.0,0.6799999999999999,0.08028905588733516,,
reentry:place_cups:single:mug0:k2:m0:link:0:d2:k4:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,2,4,forward_clock_lag,25,k4:t0,k4:t24,k4:t24,24,0,1,1,0,1,1,1,1,0.35660901977546355,1.0,0.6799999999999999,0.34642019063902174,,
reentry:place_cups:single:mug0:k2:m0:link:0:d2:k4:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,2,4,backward_recovery,25,k4:t24,k4:t0,k4:t0,24,0,1,1,0,1,1,1,1,1.0,1.0,0.6799999999999999,0.9714285714285714,,
reentry:place_cups:single:mug0:k2:m0:link:0:d3:k2:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,3,2,forward_clock_lag,13,k2:t2,k2:t14,k2:t14,12,0,1,1,0,1,1,1,1,0.2183538688437287,1.0,0.6799999999999999,0.21211518687676503,,
reentry:place_cups:single:mug0:k2:m0:link:0:d3:k2:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,3,2,backward_recovery,13,k2:t14,k2:t2,k2:t2,12,0,1,1,0,1,1,1,1,0.4698376101448683,1.0,0.6799999999999999,0.4564136784264435,,
reentry:place_cups:single:mug0:k2:m0:link:0:d3:k3:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,3,3,forward_clock_lag,70,k3:t0,k3:t69,k3:t68,69,1,1,0,1,1,0,1,1,0.6603271931859214,1.0,0.6799999999999999,0.6414607019520379,,
reentry:place_cups:single:mug0:k2:m0:link:0:d3:k3:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,3,3,backward_recovery,70,k3:t69,k3:t0,k3:t1,69,1,1,0,1,1,0,1,1,0.23803570797147944,1.0,0.6799999999999999,0.23123468774372288,,
reentry:place_cups:single:mug0:k2:m0:link:0:d3:k4:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,3,4,forward_clock_lag,25,k4:t0,k4:t24,k4:t24,24,0,1,1,0,1,1,1,1,0.7766103857509142,1.0,0.6799999999999999,0.7544215175866024,,
reentry:place_cups:single:mug0:k2:m0:link:0:d3:k4:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,3,4,backward_recovery,25,k4:t24,k4:t0,k4:t0,24,0,1,1,0,1,1,1,1,1.0,1.0,0.6799999999999999,0.9714285714285714,,
reentry:place_cups:single:mug0:k2:m0:link:0:d4:k2:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,4,2,forward_clock_lag,13,k2:t2,k2:t14,k2:t13,12,1,1,0,1,1,0,1,1,0.6181748508318745,1.0,0.6799999999999999,0.6005127122366781,,
reentry:place_cups:single:mug0:k2:m0:link:0:d4:k2:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,4,2,backward_recovery,13,k2:t14,k2:t2,k2:t2,12,0,1,1,0,1,1,1,1,0.8391511274232615,1.0,0.6799999999999999,0.815175380925454,,
reentry:place_cups:single:mug0:k2:m0:link:0:d4:k3:forward_clock_lag,place_cups,single,single:mug0:k2:m0:link:0,4,3,forward_clock_lag,70,k3:t0,k3:t69,k3:t69,69,0,1,1,0,1,1,1,1,0.7938388452858829,1.0,0.6799999999999999,0.771157735420572,,
reentry:place_cups:single:mug0:k2:m0:link:0:d4:k3:backward_recovery,place_cups,single,single:mug0:k2:m0:link:0,4,3,backward_recovery,70,k3:t69,k3:t0,k3:t10,69,10,1,0,10,1,0,1,1,0.11957193739927571,1.0,0.6799999999999999,0.11615559633072498,,
