experiment,fault,task,proposed,reference,episodes,proposed_rate,reference_rate,rate_difference,proposed_only_success,reference_only_success,mcnemar_exact_p,holm_adjusted_p
dynamic,,bimanual_handover_item,progress_only,dynamac_v4,50,0.68,0.98,-0.3,0,15,6.103515625e-05,0.009521484375
dynamic,,bimanual_handover_item,progress_dynamic_roles,progress_only,50,0.72,0.68,0.04,8,6,0.79052734375,1.0
dynamic,,bimanual_handover_item,full,progress_dynamic_roles,50,0.98,0.72,0.26,14,1,0.0009765625,0.14453125
dynamic,,bimanual_handover_item,full,dynamac_v4,50,0.98,0.98,0.0,0,0,1.0,1.0
dynamic,,bimanual_lift_tray,progress_only,dynamac_v4,50,0.88,0.9,-0.02,4,5,1.0,1.0
dynamic,,bimanual_lift_tray,progress_dynamic_roles,progress_only,50,0.94,0.88,0.06,5,2,0.453125,1.0
dynamic,,bimanual_lift_tray,full,progress_dynamic_roles,50,0.9,0.94,-0.04,3,5,0.7265625,1.0
dynamic,,bimanual_lift_tray,full,dynamac_v4,50,0.9,0.9,0.0,5,5,1.0,1.0
dynamic,,bimanual_put_bottle_in_fridge,progress_only,dynamac_v4,50,0.88,0.9,-0.02,2,3,1.0,1.0
dynamic,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,progress_only,50,0.88,0.88,0.0,4,4,1.0,1.0
dynamic,,bimanual_put_bottle_in_fridge,full,progress_dynamic_roles,50,0.92,0.88,0.04,4,2,0.6875,1.0
dynamic,,bimanual_put_bottle_in_fridge,full,dynamac_v4,50,0.92,0.9,0.02,2,1,1.0,1.0
dynamic,,bimanual_sweep_to_dustpan,progress_only,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
dynamic,,bimanual_sweep_to_dustpan,progress_dynamic_roles,progress_only,50,0.98,1.0,-0.02,0,1,1.0,1.0
dynamic,,bimanual_sweep_to_dustpan,full,progress_dynamic_roles,50,0.98,0.98,0.0,1,1,1.0,1.0
dynamic,,bimanual_sweep_to_dustpan,full,dynamac_v4,50,0.98,1.0,-0.02,0,1,1.0,1.0
dynamic,,open_microwave,progress_only,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
dynamic,,open_microwave,progress_dynamic_roles,progress_only,50,1.0,1.0,0.0,0,0,1.0,1.0
dynamic,,open_microwave,full,progress_dynamic_roles,50,0.98,1.0,-0.02,0,1,1.0,1.0
dynamic,,open_microwave,full,dynamac_v4,50,0.98,1.0,-0.02,0,1,1.0,1.0
dynamic,,place_cups,progress_only,dynamac_v4,50,0.68,1.0,-0.32,0,16,3.0517578125e-05,0.004852294921875
dynamic,,place_cups,progress_dynamic_roles,progress_only,50,0.58,0.68,-0.1,1,6,0.125,1.0
dynamic,,place_cups,full,progress_dynamic_roles,50,0.96,0.58,0.38,19,0,3.814697265625e-06,0.00061798095703125
dynamic,,place_cups,full,dynamac_v4,50,0.96,1.0,-0.04,0,2,0.5,1.0
dynamic,,stack_wine,progress_only,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
dynamic,,stack_wine,progress_dynamic_roles,progress_only,50,1.0,1.0,0.0,0,0,1.0,1.0
dynamic,,stack_wine,full,progress_dynamic_roles,50,1.0,1.0,0.0,0,0,1.0,1.0
dynamic,,stack_wine,full,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
dynamic,,wipe_desk,progress_only,dynamac_v4,50,0.66,0.7,-0.04,1,3,0.625,1.0
dynamic,,wipe_desk,progress_dynamic_roles,progress_only,50,0.66,0.66,0.0,1,1,1.0,1.0
dynamic,,wipe_desk,full,progress_dynamic_roles,50,0.62,0.66,-0.04,1,3,0.625,1.0
