experiment,fault,proposed,reference,tasks,macro_rate_difference,bootstrap95_low,bootstrap95_high,bootstrap_draws
dynamic,,progress_only,dynamac_v4,8,-0.0875,-0.19,-0.005,10000
dynamic,,progress_dynamic_roles,progress_only,8,-0.0025000000000000005,-0.0475,0.04000000000000001,10000
dynamic,,full,progress_dynamic_roles,8,0.06,-0.0225,0.17250000000000001,10000
dynamic,,full,dynamac_v4,8,-0.030000000000000002,-0.07,0.007499999999999998,10000
fault,grasp_failure,progress_only,dynamac_v4,8,-0.025,-0.085,0.0,10000
fault,grasp_failure,progress_dynamic_roles,progress_only,8,-0.065,-0.20750000000000002,0.0,10000
fault,grasp_failure,full,progress_dynamic_roles,8,0.7825,0.53,0.9524999999999999,10000
fault,grasp_failure,full,dynamac_v4,8,0.6924999999999999,0.3775,0.9425,10000
fault,relation_mismatch,progress_only,dynamac_v4,8,-0.0925,-0.22,0.01,10000
fault,relation_mismatch,progress_dynamic_roles,progress_only,8,-0.0025,-0.02,0.01,10000
fault,relation_mismatch,full,progress_dynamic_roles,8,0.25,0.0325,0.51,10000
fault,relation_mismatch,full,dynamac_v4,8,0.155,0.019937500000000052,0.315,10000
fault,time_stall,progress_only,dynamac_v4,8,0.2075,-0.019999999999999993,0.485,10000
fault,time_stall,progress_dynamic_roles,progress_only,8,0.0325,-0.0075,0.0775,10000
fault,time_stall,full,progress_dynamic_roles,8,0.0775,-0.027499999999999997,0.20499999999999996,10000
fault,time_stall,full,dynamac_v4,8,0.3175,0.08000000000000002,0.6000624999999992,10000
fault,unexpected_drop,progress_only,dynamac_v4,8,-0.295,-0.625,-0.035,10000
fault,unexpected_drop,progress_dynamic_roles,progress_only,8,0.030000000000000002,-0.0125,0.08499999999999999,10000
fault,unexpected_drop,full,progress_dynamic_roles,8,0.2925,0.0325,0.6,10000
fault,unexpected_drop,full,dynamac_v4,8,0.02749999999999999,-0.315,0.3725,10000
normal,,progress_only,dynamac_v4,8,-0.053750000000000006,-0.14875,0.015000000000000003,10000
normal,,progress_dynamic_roles,progress_only,8,-0.008125,-0.040625,0.02375,10000
normal,,full,progress_dynamic_roles,8,0.085625,0.009375,0.18,10000
normal,,full,dynamac_v4,8,0.02375,0.0031249999999999997,0.049375,10000
