episode_index,seed,v4_invalid_actions,closed_loop_success,closed_loop_steps,closed_loop_invalid_actions,executed_actions,first_failure_tick,first_left_reference,post_last_execution_left_reference,trac_failures,sampling_successes,path_attempts,path_successes,trac_factory_failures,failing_arm
0,2608000000,40,0,400,377,23,20,k0:t20,k0:t24,378,1,0,0,0,left
2,2608000002,36,0,400,374,26,23,k0:t23,k0:t27,374,0,0,0,0,left
35,2608000035,37,0,400,374,26,23,k0:t23,k0:t26,375,1,0,0,0,left
42,2608000042,40,0,400,375,25,21,k0:t21,k0:t26,376,1,0,0,0,left
83,2608000083,36,0,400,374,26,23,k0:t23,k0:t27,374,0,0,0,0,left
89,2608000089,37,0,400,375,25,23,k0:t23,k0:t26,375,0,0,0,0,left
108,2608000108,36,0,400,372,28,28,k0:t28,k0:t28,372,0,45,0,0,left
118,2608000118,32,0,400,370,30,28,k0:t28,k0:t30,371,1,26,0,0,left
149,2608000149,37,0,400,375,25,23,k0:t23,k0:t26,375,0,0,0,0,left
170,2608000170,34,0,400,373,27,26,k0:t26,k0:t27,374,1,31,0,0,left
