fault,method,episodes,fault_triggered,successes,success_rate,mean_steps,result_path,result_sha256
time_stall,dynamac_v4,3,3,3,1.0,177.33333333333334,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_time_stall_dynamac_v4_final_v21.json,161b13cf0a5abfb6bec9d9ae462aaec8ee5496a66df7fd51cb507f37687edde7
time_stall,progress_only,3,3,3,1.0,183.33333333333334,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_time_stall_progress_only_final_v21.json,d0ceb55e44c20a981837fb8cff8dab138c5f81d3104781d403b24669e4b97c08
time_stall,progress_dynamic_roles,3,3,3,1.0,181.66666666666666,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_time_stall_progress_dynamic_roles_final_v21.json,52e707e6d38370cbb54fb528a8e4bda434815ca9fb07e1a5899083d1a3626028
time_stall,full,3,3,3,1.0,181.66666666666666,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_time_stall_full_final_v21.json,484abdc06f9f758f07a8b6f8995c905d5103465ba3b72992dab441c428fd62ca
grasp_failure,dynamac_v4,3,3,0,0.0,189.66666666666666,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_grasp_failure_dynamac_v4_final_v21.json,c9171e66b3fb91458ab6c630e60fad29c2ad7b0899889c289ca520b8ea77086a
grasp_failure,progress_only,3,3,0,0.0,184.66666666666666,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_grasp_failure_progress_only_final_v21.json,838c1b66da9624292c3e5fbb6dd545c5e45e01445e2e2f9bfb63a77d14928edc
grasp_failure,progress_dynamic_roles,3,3,0,0.0,700.0,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_grasp_failure_progress_dynamic_roles_final_v21.json,71c8463b3bb9c3488eada9fb066ce08c915093894be2dbc1a98082218d6f6c88
grasp_failure,full,3,3,3,1.0,234.33333333333334,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_grasp_failure_full_final_v21.json,2ddad041fba506f0d627b6e233de4f99be49b74f695b42a644bff62c3074770b
relation_mismatch,dynamac_v4,3,3,0,0.0,191.33333333333334,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_relation_mismatch_dynamac_v4_final_v21.json,14a2b094c381625bd7f2460e6682df9bf01f78e8705f7415fa8d5c7c33634a59
relation_mismatch,progress_only,3,3,0,0.0,185.66666666666666,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_relation_mismatch_progress_only_final_v21.json,8dcba5120dbd9dfd774b31124e098c5456b73db7e0dd7041e51a7d5c522c439c
relation_mismatch,progress_dynamic_roles,3,3,0,0.0,700.0,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_relation_mismatch_progress_dynamic_roles_final_v21.json,e2352f2f366342496730d146eaf7a3ae880ca08130cd00ae4b1b753f787323e8
relation_mismatch,full,3,3,3,1.0,223.66666666666666,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_relation_mismatch_full_final_v21.json,6f23a04af38e7dd431b51e6bc34ade90df3a400e8b79ce6cff93762fdc1cb161
unexpected_drop,dynamac_v4,3,3,0,0.0,191.0,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_unexpected_drop_dynamac_v4_final_v21.json,0d13cfd0eee6163eed91ff3a42a0318b960196aa75dfc3bd4a52e81a46a7c593
unexpected_drop,progress_only,3,3,0,0.0,186.0,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_unexpected_drop_progress_only_final_v21.json,20ebad4f6f7b8c1bc087c61067c43b40f7423ad07363a6226f8d08f94fadd7ed
unexpected_drop,progress_dynamic_roles,3,3,0,0.0,700.0,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_unexpected_drop_progress_dynamic_roles_final_v21.json,0ee4d46e553a9fff86bdd25dbb3eb597e4582ed0112a6cef82aba2073d0e885a
unexpected_drop,full,3,3,3,1.0,234.0,evaluations/phase6_rlbench_integration/results/v1/raw_results/phase6_fault_stack_wine_unexpected_drop_full_final_v21.json,fa42e6bc625b8d0325af1aeb60c77c9b0edead6f8702266fae4c9e56f9e30b62
