method,episode,trigger_tick,duration_cycles,start_reference_state,end_reference_state,state_advancement,measurement
dynamac_v4,0,48,12,fixed_clock,fixed_clock,12,fixed_clock_semantics
dynamac_v4,1,46,12,fixed_clock,fixed_clock,12,fixed_clock_semantics
dynamac_v4,2,46,12,fixed_clock,fixed_clock,12,fixed_clock_semantics
progress_only,0,47,12,k0:t46,k0:t51,5,diagnostic_reference_state
progress_only,1,46,12,k0:t46,k0:t50,4,diagnostic_reference_state
progress_only,2,46,12,k0:t46,k0:t50,4,diagnostic_reference_state
progress_dynamic_roles,0,47,12,k0:t46,k0:t51,5,diagnostic_reference_state
progress_dynamic_roles,1,46,12,k0:t46,k0:t50,4,diagnostic_reference_state
progress_dynamic_roles,2,46,12,k0:t46,k0:t50,4,diagnostic_reference_state
full,0,47,12,k0:t46,k0:t51,5,diagnostic_reference_state
full,1,46,12,k0:t46,k0:t50,4,diagnostic_reference_state
full,2,46,12,k0:t46,k0:t50,4,diagnostic_reference_state
